id_indicator,id_parent_indicator,slug,name,id_dimension,id_granularity,explanation,potential_use,assumptions,desired_value,function_name,formalization_latex,formalization_fp,description_fp
88,,expected-human-resource-count-c-g,Expected Human Resource count,1,3,Expected number of human resources that are involved in the execution of a case belonging to a group of cases.,"If the event log does not contain cost information, Expected Human Resource count can be used as a proxy for the cost performance of a group of cases.",Minimizing the number of human resources involved is desirable.,minimize,\(\mathit{e\mathit{HR(g)\),\(\frac{\sum _{c \in g} \mathit{HR(c)}{\mathit{C(g)}\),\(\frac{\sum _{c \in \mathit{cases(g)} \mathit{HR(c)}{\mathit{C(g)}\),"$\mathit{cases(g)$ returns the set of cases in group of cases $g$.
\newline $\mathit{HR(c)$ returns the human resource count of case $c$.
\newline $\mathit{C(g)$ returns the case count of group of cases $g$. \\"
89,,expected-human-resource-count-f-g,Expected Human Resource count,2,3,Expected number of human resources that are involved in the execution of a case belonging to a group of cases.,Human Resource count can be used as a proxy to measure the flexibility of a process.,"Maximizing the number of human resources involved is desirable, as it implies a greater capability to address unexpected situations.",maximize,\(\mathit{e\mathit{HR(g)\),\(\frac{\sum _{c \in g} \mathit{HR(c)}{\mathit{C(g)}\),\(\frac{\sum _{c \in \mathit{cases(g)} \mathit{HR(c)}{\mathit{C(g)}\),"$\mathit{cases(g)$ returns the set of cases in group of cases $g$.
\newline $\mathit{HR(c)$ returns the human resource count of case $c$.
\newline $\mathit{C(g)$ returns the case count of group of cases $g$. \\"
90,,expected-human-resource-count-g-g,Expected Human Resource count,3,3,Expected number of human resources that are involved in the execution of a case belonging to a group of cases.,Calculation of several other PPIs.,,,\(\mathit{e\mathit{HR(g)\),\(\frac{\sum _{c \in g} \mathit{HR(c)}{\mathit{C(g)}\),\(\frac{\sum _{c \in \mathit{cases(g)} \mathit{HR(c)}{\mathit{C(g)}\),"$\mathit{cases(g)$ returns the set of cases in group of cases $g$.
\newline $\mathit{HR(c)$ returns the human resource count of case $c$.
\newline $\mathit{C(g)$ returns the case count of group of cases $g$. \\"
91,,expected-human-resource-count-q-g,Expected Human Resource count,4,3,Expected number of human resources that are involved in the execution of a case belonging to a group of cases.,Human Resource count can be used as a proxy to measure the quality of the process.,"Minimizing the number of human resources involved is desirable, as it reduces the possibility of errors due to, e.g., handovers of work.",minimize,\(\mathit{e\mathit{HR(g)\),\(\frac{\sum _{c \in g} \mathit{HR(c)}{\mathit{C(g)}\),\(\frac{\sum _{c \in \mathit{cases(g)} \mathit{HR(c)}{\mathit{C(g)}\),"$\mathit{cases(g)$ returns the set of cases in group of cases $g$.
\newline $\mathit{HR(c)$ returns the human resource count of case $c$.
\newline $\mathit{C(g)$ returns the case count of group of cases $g$. \\"
92,,expected-idle-time-t-g,Expected Idle Time,5,3,Expected sum of time periods in which no activity instance is executed during a case belonging to a group of cases.,Event log that contains lifecycle information for activity instances in which the time the case is inactive is of interest.,Minimizing idle time is desirable.,minimize,\(\mathit{e\mathit{IT(g)\),\(\frac{\sum _{c \in g} \mathit{IT(c)}{\mathit{C(g)}\),\(\frac{\sum_{c \in g} \mathit{IT(c)}{\mathit{C(g)}\),"$g$ represents the group of cases under analysis.
\newline $\mathit{IT(c)$ returns the idle time of case $c$.
\newline $\mathit{C(g)$ returns the case count of group of cases $g$.\\"
93,,expected-inventory-cost-c-g,Expected Inventory Cost,1,3,Expected inventory cost associated with all activity instances of a case belonging to a group of cases.,Event log in which inventory cost information is recorded.,Minimizing inventory cost is desirable.,minimize,"\(\mathit{e\mathit{IC\mathit{^{\times(g)\) 
\newline \newline \(\mathit{\times \in \{\mathit{sgl, \mathit{sum\}\)","\(\frac{\mathit{IC\mathit{^{\times(g)}{\mathit{C(g)}\)
\newline \newline The $\mathit{\times$ indicates that the PPI can take multiple forms, in this case, $\mathit{\times \in \{\mathit{sgl, \mathit{sum\}$. If $\mathit{\times = \mathit{sgl$, then the function considers single events of activity instances for cost calculations, i.e., it uses $\mathit{IC\mathit{^{sgl$; if $\mathit{\times = \mathit{sum$, then the function considers the sum of all events of activity instances for cost calculations, i.e., it uses $\mathit{IC\mathit{^{sum$.",\(\frac{\mathit{IC(g)}{\mathit{C(g)}\),"\(\mathit{IC(g)\) returns the total inventory cost for group \(g\).
\newline \(\mathit{C(g)\) returns the number of cases in group \(g\). \\"
94,,expected-labor-cost-c-g,Expected Labor Cost,1,3,Expected labor cost associated with all activity instances of a case belonging to a group of cases.,Event log in which labor cost information is recorded.,Minimizing labor cost is desirable.,minimize,"\(\mathit{e\mathit{LC\mathit{^{\times(g)\) 
\newline \newline \(\mathit{\times \in \{\mathit{sgl, \mathit{sum\}\)","\(\frac{\mathit{LC\mathit{^{\times(g)}{\mathit{C(g)}\)
\newline \newline The $\mathit{\times$ indicates that the PPI can take multiple forms, in this case, $\mathit{\times \in \{\mathit{sgl, \mathit{sum\}$. If $\mathit{\times = \mathit{sgl$, then the function considers single events of activity instances for cost calculations, i.e., it uses $\mathit{LC\mathit{^{sgl$; if $\mathit{\times = \mathit{sum$, then the function considers the sum of all events of activity instances for cost calculations, i.e., it uses $\mathit{LC\mathit{^{sum$.",\(\frac{\mathit{LC(g)}{\mathit{C(g)}\),"\(\mathit{LC(g)\) returns the total labor cost for group \(g\).
\newline \(\mathit{C(g)\) returns the number of cases in group \(g\). \\"
95,,expected-labor-cost-and-total-cost-ratio-c-g,Expected Labor Cost and Total Cost Ratio,1,3,"Expected ratio between the labor cost associated with all activity instances of a group of cases, and the total cost associated with all activity instances of a group of cases.",Event log in which both labor and total cost information are recorded.,Minimizing the cost associated with human resources is desirable.,minimize,"\(\mathit{e\mathit{LCTCR\mathit{^{\times(g)\) 
\newline \newline \(\mathit{\times \in \{\mathit{sgl, \mathit{sum\}\)","\(\frac{\mathit{LC\mathit{^{\times(g)}{\mathit{TC\mathit{^{\times(g)}\)
\newline \newline The $\mathit{\times$ indicates that the PPI can take multiple forms, in this case, $\mathit{\times \in \{\mathit{sgl, \mathit{sum\}$. If $\mathit{\times = \mathit{sgl$, then the function considers single events of activity instances for cost calculations, i.e., it uses $\mathit{LC\mathit{^{sgl$ and $\mathit{TC\mathit{^{sgl$; if $\mathit{\times = \mathit{sum$, then the function considers the sum of all events of activity instances for cost calculations, i.e., it uses $\mathit{LC\mathit{^{sum$ and $\mathit{TC\mathit{^{sum$.",\(\frac{\mathit{LC(g)}{\mathit{TC(g)}\),"\(\mathit{LC(g)\) returns the total labor cost of case group \(g\).
\newline \(\mathit{TC(g)\) returns the total cost of case group \(g\). \\"
96,,expected-lead-time-t-g,Expected Lead Time,5,3,Expected total elapsed time between the earliest and latest timestamps in a case belonging to a group of cases. Also known as cycle time.,Event log is associated with a process in which the total elapsed time of a case is of relevance.,Minimizing lead time is desirable.,minimize,\(\mathit{e\mathit{LT(g)\),\(\frac{\sum _{c\in g}\mathit{LT(c)}{\mathit{C(g)}\),\(\frac{\sum_{c \in g} \mathit{LT(c)}{\mathit{C(g)}\),"$\mathit{LT(c)$ returns the lead time of case $c$.
\newline $\mathit{C(g)$ returns the total number of cases in group $g$.
\newline The numerator $\sum_{c \in g} \mathit{LT(c)$ sums the lead times of all cases in $g$.\\"
97,,expected-lead-time-deviation-from-expectation-t-g,Expected Lead Time Deviation from Expectation,5,3,Absolute value of the difference between the time that a case in a group of cases is expected to take and its lead time.,Event log is associated with a process in which the lead time of a case should be as close as possible to a specific value.,A lead time that is closer to the expected value is desirable.,minimize,"\(\mathit{e\mathit{LTDE(g, \mathit{val)\)","\(\frac{\sum _{c \in g} \mathit{LTDE(c, \mathit{val)}{\mathit{C(g)}\)","\(\frac{\sum _{c \in g} \mathit{LTDE(c, \mathit{val)}{\mathit{C(g)}\)","$\mathit{LTDE(c, \mathit{val)$ returns the lead time deviation from expectation of case $c$.
\newline $\mathit{C(g)$ returns the number of cases in group $g$.\\"
98,,expected-lead-time-deviation-from-time-limit-t-g,Expected Lead Time Deviation from time Limit,5,3,Difference between the time that a case in a group of cases is expected to take and its lead time.,Event log is associated with a process in which the lead time of a case should not exceed a specific value.,Exceeding the lead time limit value is undesired.,maximize,"\(\mathit{e\mathit{LTDL(g, \mathit{val)\)","\(\frac{\sum _{c \in g} \mathit{LTDL(c, \mathit{val)}{\mathit{C(g)}\)","\(\frac{\sum _{c \in g} \mathit{LTDL(c, \mathit{val)}{\mathit{C(g)}\)","$\mathit{LTDL(c, \mathit{val)$ returns the lead time deviation from time Limit for case $c$.
\newline $\mathit{val$ represents the predefined time Limit.
\newline $\mathit{C(g)$ returns the number of cases in group $g$.\\"
99,,expected-lead-time-from-activity-a-t-g,Expected Lead Time from activity A,5,3,Expected total elapsed time between the earliest instantiation of a specific activity and the latest activity event of a case belonging to a group of cases.,Event log is associated with a process in which the total elapsed time of a specific subprocess is of relevance.,Minimizing lead time is desirable.,minimize,"\(\mathit{e\mathit{LTfA(g, \mathit{a)\)","\(\frac{\sum _{c \in g} \begin{cases}
\mathit{LTfA(c, \mathit{a) & \mathit{if \  \mathit{fi\mathit{^{s(c, \mathit{a) \neq \emptyset \\ 0 & \mathit{if \  \mathit{fi\mathit{^{s(c, \mathit{a) = \emptyset
\end{cases}}{|\{c \in g \mid \mathit{fi\mathit{^{s(c, \mathit{a) \neq \emptyset\}|}\)","\(\frac{\sum _{c \in g} \begin{cases}
\mathit{LTfA(c, \mathit{a) & \mathit{if \  \mathit{fi\mathit{^{s(c, \mathit{a) \neq \emptyset \\
0 & \mathit{if \  \mathit{fi\mathit{^{s(c, \mathit{a) = \emptyset
\end{cases}}{
\sum_{c \in \mathit{cases(g)} 
\begin{cases}
1 & \text{if } \mathit{fi\mathit{^{s(c, \mathit{a) \neq \emptyset \\
0 & \text{otherwise}
\end{cases}
}\)","$\mathit{fi\mathit{^{s(c, \mathit{a)$ returns the set of first started instances of activity $\mathit{a$ in case $c$.
\newline $\mathit{LTfA(c, \mathit{a)$ returns the lead time from the first started instance of activity $\mathit{a$ in case $c$ to the end of case $c$.
\\"
100,,expected-lead-time-from-activity-a-to-activity-b-t-g,Expected Lead Time from activity A to activity B,5,3,Expected total elapsed time between the earliest instantiation of a specific activity and the earliest instantiation of another specific activity that occurs after the former one in a case belonging to a group of cases.,Event log is associated with a process in which the total elapsed time of a specific subprocess is of relevance.,Minimizing lead time is desirable.,minimize,"\(\mathit{e\mathit{LTAB(g, \mathit{a, \mathit{b)\)","\(\frac{\sum _{c \in g} \begin{cases}
\mathit{LTAB(c, \mathit{a, \mathit{b) & \mathit{if \  \mathit{fi\mathit{^{sc(c, \mathit{a, \mathit{b) \neq \emptyset \\ 0 & \mathit{if \  \mathit{fi\mathit{^{sc(c, \mathit{a, \mathit{b) = \emptyset
\end{cases}}{|\{c \in g \mid \mathit{fi\mathit{^{sc(c, \mathit{a, \mathit{b) \neq \emptyset)\}|}\)","\[
\frac{
\sum_{c \in \mathit{cases(g)} 
\begin{cases}
\mathit{LTAB(c, a, b) & \text{if } \mathit{fi(c, \mathit{a, \mathit{b) \neq \emptyset \\
0 & \text{otherwise}
\end{cases}
}{
\sum_{c \in \mathit{cases(g)} 
\begin{cases}
1 & \text{if } \mathit{fi(c, \mathit{a, \mathit{b)  \neq \emptyset \\
0 & \text{otherwise}
\end{cases}
}
\]

\(\mathit{cases(g)\): Set of all cases belonging to group \(g\).","\(\mathit{LTAB(c, a, b)\): Lead time between activity \(a\) and activity \(b\) within case \(c\).
\newline
\(\mathit{fi(c, \mathit{a, \mathit{b)\): Function that returns the flow instance between \(a\) and \(b\) in case \(c\). If empty, the pair \((a, b)\) does not occur in \(c\). \\"
101,,expected-lead-time-to-activity-a-t-g,Expected Lead Time to activity A,5,3,Expected total elapsed time between the earliest event and the earliest instantiation of a specific activity in a case belonging to a group of cases.,Event log is associated with a process in which the total elapsed time of a specific is of relevance.,Minimizing lead time is desirable.,minimize,"\(\mathit{e\mathit{LTtA(g, \mathit{a)\)","\(\frac{\sum _{c \in g} \begin{cases}
\mathit{LTtA(c, \mathit{a) & \mathit{if \  \mathit{fi\mathit{^{c(c, \mathit{a) \neq \emptyset \\ 0 & \mathit{if \  \mathit{fi\mathit{^{c(c, \mathit{a) = \emptyset
\end{cases}}{|\{c \in g \mid \mathit{if \  \mathit{fi\mathit{^{c(c, \mathit{a) \neq \emptyset\}|}\)","\(\displaystyle \frac{\sum_{c \in g} 
\begin{cases} 
\mathit{LTtA(c, \mathit{a) & \mathit{if \  \mathit{fi\mathit{^{c(c, \mathit{a) \neq \emptyset \\ 
0 & \mathit{if \  \mathit{fi\mathit{^{c(c, \mathit{a) = \emptyset 
\end{cases}}
{
\sum_{c \in \mathit{cases(g)} 
\begin{cases}
1 & \text{if } \mathit{fi\mathit{^{c(c, \mathit{a) \neq \emptyset \\
0 & \text{otherwise}
\end{cases}
}\)","\(\mathit{LTtA(c, \mathit{a)\) returns the lead time from the start of case \(c\) to the first completed instance of activity \(\mathit{a\) in case \(c\).
\newline \(\mathit{fi\mathit{^{c(c, \mathit{a)\) returns the set of first completed instances of activity \(\mathit{a\) in case \(c\).
\newline \(\left| \{ c \in g \mid \mathit{fi\mathit{^{c(c, \mathit{a) \neq \emptyset \} \right|\) returns the number of cases in group \(g\) where activity \(\mathit{a\) occurs at least once (i.e., cases with a non-empty \(\mathit{fi\mathit{^{c(c, \mathit{a)\)).\\"
102,,expected-maintenance-cost-c-g,Expected Maintenance Cost,1,3,Expected maintenance cost associated with a case belonging to a group of cases.,Process where the cost of conducting maintenance is relevant.,Minimizing maintenance cost is desirable.,minimize,\(\mathit{e\mathit{MainC(g)\),\(\frac{\mathit{MainC(g)}{\mathit{C(g)}\),\(\frac{\mathit{MainC(g)}{\mathit{C(g)}\),"\(\mathit{MainC(g)\) returns the total maintenance cost for group \(g\).
\newline \(\mathit{C(g)\) returns the number of cases in group \(g\). \\"
103,,expected-missed-deadline-cost-c-g,Expected Missed Deadline Cost,1,3,Expected cost for missing deadlines associated with a case belonging to a group of cases.,Process where missing a deadline incurs in additional costs.,Minimizing missed deadline cost is desirable.,minimize,\(\mathit{e\mathit{MDC(g)\),\(\frac{\mathit{MDC(g)}{\mathit{C(g)}\),\(\frac{\mathit{MDC(g)}{\mathit{C(g)}\),"\(\mathit{MDC(g)\) returns the total missed deadline cost for group \(g\).
\newline \(\mathit{C(g)\) returns the number of cases in group \(g\). \\"
104,,expected-non-automated-activity-count-group-of-cases-granularity-q-g,Expected Non-Automated Activity count (group of cases granularity),4,3,Expected number of non-automated activities that occur in a case belonging to a group of cases.,Event log that contains automated activities.,"Non-automated activities are prone to errors, which reduces the quality of the process.",minimize,\(\mathit{NAutA(g)\),\(\frac{\sum _{c \in g} \mathit{NAutA(c)}{\mathit{C(g)}\),\(\frac{\sum _{c \in g} \mathit{NAutA(c)}{\mathit{C(g)}\),"\(\mathit{NAutA(c)\) returns the non-automated activity count for case \(c\).
\newline \(\mathit{C(g)\) returns the number of cases in group \(g\). \\"
105,,expected-non-automated-activity-instance-count-q-g,Expected Non-Automated activity Instance count,4,3,Expected number of times that a non-automated activity is instantiated in a case belonging to a group of cases.,Event log that contains automated activities.,"Non-automated activities are prone to errors, which reduces the quality of the process.",minimize,\(\mathit{e\mathit{NAutI(g)\),\(\frac{\mathit{NAutI(g)}{\mathit{C(g)}\),\(\frac{\mathit{NAutI(g)}{\mathit{C(g)}\),"\(\mathit{NAutI(g)\) returns the total non-automated activity instance count for group \(g\).
\newline \(\mathit{C(g)\) returns the number of cases in group \(g\). \\"
106,,expected-optional-activity-count-f-g,Expected Optional Activity count,2,3,Expected number of optional activities that are instantiated in a case belonging to a group of cases. \newline An activity is considered optional if there is at least one case in the event log where it does not occur.,Process with multiple activities that are not instantiated in every case.,"A greater number of optional activities is desired, as it implies a greater capability to address unexpected situations.",maximize,\(\mathit{e\mathit{OptA(g)\),\(\frac{\sum _{c \in g} \mathit{OptA(c)}{\mathit{C(g)}\),\(\frac{\sum _{c \in g} \mathit{OptA(c)}{\mathit{C(g)}\),"\(\mathit{OptA(c)\) returns the optional activity count for case \(c\).
\newline \(\mathit{C(g)\) returns the number of cases in group \(g\). \\"
107,,expected-optionality-f-g,Expected Optionality,2,3,"Ratio between the expected number of optional activities that are instantiated in a case belonging to a group of cases, and the expected number of activities that occur in a case belonging to a group of cases. \newline An activity is considered optional if there is at least one case in the event log where it does not occur.",Process with multiple activities that are not instantiated in every case.,"A greater number of optional activities is desired, as it implies a greater capability to address unexpected situations.",maximize,\(\mathit{e\mathit{Opt(g)\),\(\frac{\sum _{c \in g} \mathit{OptA(c)}{\sum _{c \in g} \mathit{A(c)}\),\(\frac{\sum _{c \in g} \mathit{OptA(c)}{\sum _{c \in g} \mathit{A(c)}\),"\(\mathit{OptA(c)\) returns the optional activity count for case \(c\).
\newline \(\mathit{A(c)\) returns the number of unique activities in case \(c\). \\"
108,,expected-outcome-unit-count-q-g,Expected outcome Unit count,4,3,Expected outcome units associated with all activity instances in a case belonging to a group of cases.,Process where the outcome of activity instances can be measured.,Maximizing outcome unit count is desirable.,maximize,"\(\mathit{e\mathit{U\mathit{^{\times(g)\)
\newline \newline \(\mathit{\times \in \{\mathit{sgl, \mathit{sum\}\)","\(\frac{\mathit{U\mathit{^{\times(g)}{\mathit{C(g)}\)
\newline \newline The $\mathit{\times$ indicates that the PPI can take multiple forms, in this case, $\mathit{\times \in \{\mathit{sgl, \mathit{sum\}$. If $\mathit{\times = \mathit{sgl$, then the function considers single events of activity instances for outcome unit calculations, i.e., it uses $\mathit{U\mathit{^{sgl$; if $\mathit{\times = \mathit{sum$, then the function considers the sum of all events of activity instances for outcome unit calculations, i.e., it uses $\mathit{U\mathit{^{sum$.",\(\frac{\mathit{U(g)}{\mathit{C(g)}\),"\(\mathit{U(g)\) returns the total outcome unit count for group \(g\).
\newline \(\mathit{C(g)\) returns the number of cases in group \(g\). \\"
109,,expected-overall-quality-q-g,Expected Overall Quality,4,3,Expected overall quality associated with the outcome of a case belonging to a group of cases.,"Event log contains information that allows measuring overall quality, such as customer satisfaction or a quantifier of the outcome of the process.",Maximizing the quality of the process is desirable.,maximize,\(\mathit{e\mathit{OQ(g)\),\(\frac{\sum _{c \in g} \mathit{OQ(c)}{\mathit{C(g)}\),\(\frac{\sum _{c \in g} \mathit{OQ(c)}{\mathit{C(g)}\),"\(\mathit{OQ(c)\) returns the overall quality associated with case \(c\).
\newline \(\mathit{C(g)\) returns the number of cases in group \(g\). \\"
110,,expected-overhead-cost-c-g,Expected Overhead Cost,1,3,Expected total cost associated with all instantiations of activities that do not have a direct effect on the outcome of a case belonging to a group of cases.,Event log in which activities can be categorized based on whether they directly contribute to the outcome of the process or not.,Minimizing total cost is desirable.,minimize,"\(\mathit{e\mathit{OC\mathit{^{\times(g)\) 
\newline \newline \(\mathit{\times \in \{\mathit{sgl, \mathit{sum\}\)","\(\frac{\mathit{OC\mathit{^{\times(g)}{\mathit{C(g)}\)
\newline \newline The $\mathit{\times$ indicates that the PPI can take multiple forms, in this case, $\mathit{\times \in \{\mathit{sgl, \mathit{sum\}$. If $\mathit{\times = \mathit{sgl$, then the function considers single events of activity instances for cost calculations, i.e., it uses $\mathit{OC\mathit{^{sgl$; if $\mathit{\times = \mathit{sum$, then the function considers the sum of all events of activity instances for cost calculations, i.e., it uses $\mathit{OC\mathit{^{sum$.",\(\frac{\mathit{OC(g)}{\mathit{C(g)}\),"\(\mathit{OC(g)\) returns the total overhead cost for group \(g\).
\newline \(\mathit{C(g)\) returns the number of cases in group \(g\). \\"
111,,expected-repeatability-q-g,Expected Repeatability,4,3,"One minus the expected ratio between the number of activities that occur in a case belonging to a group of cases, and the number of times that an activity is instantiated in a case belonging to a group of cases.",Process where activity repetition is common.,It is desirable not to repeat activities.,minimize,\(\mathit{e\mathit{Rep(g)\),\(1 - \frac{\sum _{c \in g} \mathit{A(c)}{\mathit{I(g)}\),\(1 - \frac{\sum _{c \in g} \mathit{A(c)}{\mathit{I(g)}\),"\(\mathit{A(c)\) returns the number of unique activities in case \(c\).
\newline \(\mathit{I(g)\) returns the total number of activity instances in group \(g\). \\"
112,,expected-resource-count-c-g,Expected Resource count,1,3,Expected number of resources that are involved in the execution of a case belonging to a group of cases.,"If the event log does not contain cost information, Expected Resource count can be used as a proxy for the cost performance of a group of cases.",Minimizing the number of resources involved is desirable.,minimize,\(\mathit{e\mathit{R(g)\),\(\frac{\sum _{c \in g} \mathit{R(c)}{\mathit{C(g)}\),\(\frac{\sum _{c \in g} \mathit{R(c)}{\mathit{C(g)}\),"\(\mathit{R(c)\) returns the resource count for case \(c\).
\newline \(\mathit{C(g)\) returns the number of cases in group \(g\). \\"
113,,expected-resource-count-g-g,Expected Resource count,3,3,Expected number of resources that are involved in the execution of a case belonging to a group of cases.,Calculation of several other PPIs.,,,\(\mathit{e\mathit{R(g)\),\(\frac{\sum _{c \in g} \mathit{R(c)}{\mathit{C(g)}\),\(\frac{\sum _{c \in \mathit{cases(g)} \mathit{R(c)}{\mathit{C(g)}\),"$\mathit{cases(g)$ returns the set of cases in group of cases $g$.
\newline $\mathit{R(c)$ returns the resource count of case $c$.
\newline $\mathit{C(g)$ returns the case count of group of cases $g$. \\"
114,,expected-rework-cost-c-g,Expected Rework Cost,1,3,"Expected total cost of all times that any activity is instantiated again, after its first instantiation, in a case belonging to a group of cases.",Event log that contains cost information where measuring rework is of relevance.,Minimizing the cost of rework is desirable.,minimize,"\(\mathit{e\mathit{RC\mathit{^{\times(g)\)
\newline \newline \(\mathit{\times \in \{\mathit{sgl, \mathit{sum\}\)","\(\frac{\mathit{RC\mathit{^{\times(g)}{\mathit{C(g)}\)
\newline \newline The $\mathit{\times$ indicates that the PPI can take multiple forms, in this case, $\mathit{\times \in \{\mathit{sgl, \mathit{sum\}$. If $\mathit{\times = \mathit{sgl$, then the function considers single events of activity instances for cost calculations, i.e., it uses $\mathit{RC\mathit{^{sgl$; if $\mathit{\times = \mathit{sum$, then the function considers the sum of all events of activity instances for cost calculations, i.e., it uses $\mathit{RC\mathit{^{sum$.",\(\frac{\mathit{RC(g)}{\mathit{C(g)}\),"\(\mathit{RC(g)\) returns the total rework cost for group \(g\).
\newline \(\mathit{C(g)\) returns the number of cases in group \(g\). \\"
115,,expected-rework-count-c-g,Expected Rework Count,1,3,"Expected number of times that any activity is instantiated again, after its first instantiation, in a case belonging to a group of cases.","If the event log does not contain cost information, Expected Rework Count can be used as a proxy for the cost performance of a group of cases.",Minimizing rework is desirable.,minimize,\(\mathit{e\mathit{RewC(g)\),\(\frac{\mathit{RewC(g)}{\mathit{C(g)}\),\(\frac{\mathit{RewC(g)}{\mathit{C(g)}\),"\(\mathit{RewC(g)\) returns the total rework count for group \(g\).
\newline \(\mathit{C(g)\) returns the number of cases in group \(g\). \\"
116,,expected-rework-count-q-g,Expected Rework Count,4,3,"Expected number of times that any activity is instantiated again, after its first instantiation, in a case belonging to a group of cases.",Process where rework recurrently occurs.,Minimizing rework is desirable.,minimize,\(\mathit{e\mathit{RewC(g)\),\(\frac{\mathit{RewC(g)}{\mathit{C(g)}\),\(\frac{\mathit{RewC(g)}{\mathit{C(g)}\),"\(\mathit{RewC(g)\) returns the total rework count for group \(g\).
\newline \(\mathit{C(g)\) returns the number of cases in group \(g\). \\"
117,,expected-rework-count-by-value-q-g,Expected Rework Count by Value,4,3,"Expected number of times that any activity is instantiated again, after it is instantiated a certain number of times, in a case belonging to a group of cases.",Process where rework recurrently occurs.,Minimizing rework is desirable.,minimize,"\(\mathit{e\mathit{RewCV(g, \mathit{val)\)","\(\frac{\mathit{RewCV(g, \mathit{val)}{\mathit{C(g)}\)","\(\frac{\mathit{RewCV(g, \mathit{val)}{\mathit{C(g)}\)","\(\mathit{RewCV(g, \mathit{val)\) returns the total rework count by value \(\mathit{val\) for group \(g\).
\newline \(\mathit{C(g)\) returns the number of cases in group \(g\). \\"
118,,expected-rework-of-activities-subset-q-g,Expected Rework of activities Subset,4,3,"Expected number of times that any activity belonging to a subset of activities is instantiated again, after its first instantiation, in a case belonging to a group of cases.","Process where rework occurs recurrently, but only the rework of some activities is of interest.",Minimizing rework is desirable.,minimize,"\(\mathit{e\mathit{RewSub(g, \mathit{sub)\)","\(\frac{\mathit{RewSub(g, \mathit{sub)}{\mathit{C(g)}\)","\(\frac{\mathit{RewSub(g, \mathit{sub)}{\mathit{C(g)}\)","\(\mathit{RewSub(g, \mathit{sub)\) returns the total rework count for subset \(\mathit{sub\) in group \(g\).
\newline \(\mathit{C(g)\) returns the number of cases in group \(g\). \\"
119,,expected-rework-percentage-c-g,Expected Rework Percentage,1,3,"Expected percentage of times that any activity is instantiated again, after its first instantiation, in a case belonging to a group of cases.","If the event log does not contain cost information, Expected Rework Percentage can be used as a proxy for the cost performance of a group of cases.",Minimizing rework is desirable.,minimize,\(\mathit{e\mathit{RewP(g)\),\(\frac{\sum _{c \in g} \mathit{RewP(c)}{\mathit{C(g)}\),\(\frac{\sum _{c \in g} \mathit{RewP(c)}{\mathit{C(g)}\),"\(\mathit{RewP(c)\) returns the rework percentage for case \(c\).
\newline \(\mathit{C(g)\) returns the number of cases in group \(g\). \\"
120,,expected-rework-percentage-q-g,Expected Rework Percentage,4,3,"Expected percentage of times that any activity is instantiated again, after its first instantiation, in a case belonging to a group of cases.",Process where rework occurs recurrently.,Minimizing rework is desirable.,minimize,\(\mathit{e\mathit{RewP(g)\),\(\frac{\sum _{c \in g} \mathit{RewP(c)}{\mathit{C(g)}\),\(\frac{\sum _{c \in g} \mathit{RewP(c)}{\mathit{C(g)}\),"\(\mathit{RewP(c)\) returns the rework percentage for case \(c\).
\newline \(\mathit{C(g)\) returns the number of cases in group \(g\). \\"
121,,expected-rework-percentage-by-value-q-g,Expected Rework Percentage by Value,4,3,"Expected percentage of times that any activity is instantiated again, after it is instantiated a certain number of times, in a case belonging to a group of cases.",Process where rework occurs recurrently.,Minimizing rework is desirable.,minimize,\(\mathit{e\mathit{RewPV(g)\),"\(\frac{\sum _{c \in g} \mathit{RewPV(c, \mathit{val)}{\mathit{C(g)}\)","\(\frac{\sum _{c \in g} \mathit{RewPV(c, \mathit{val)}{\mathit{C(g)}\)","\(\mathit{RewPV(c, \mathit{val)\) returns the rework percentage by value \(\mathit{val\) for case \(c\).
\newline \(\mathit{C(g)\) returns the number of cases in group \(g\). \\"
122,,expected-rework-time-q-g,Expected Rework Time,4,3,"Expected sum of the elapsed time for all times that any activity is instantiated again, after its first instantiation, in a case belonging to a group of cases.",Process where measuring the time spent on rework activities is of relevance.,Minimizing the time spent on reworking is desirable.,minimize,\(\mathit{e\mathit{RT(g)\),\(\frac{\mathit{RT(g)}{\mathit{C(g)}\),\(\frac{\mathit{RT(g)}{\mathit{C(g)}\),"\(\mathit{RT(g)\) returns the total rework time for group \(g\).
\newline \(\mathit{C(g)\) returns the number of cases in group \(g\). \\"
123,,expected-role-count-f-g,Expected Role count,2,3,Expected number of human resource roles that are involved in the execution of a case belonging to a group of cases.,Process where several roles are involved.,A greater number of roles involved in the execution of the process implies greater flexibility.,maximize,\(\mathit{e\mathit{Role(g)\),\(\frac{\sum _{c \in g} \mathit{Role(c)}{\mathit{C(g)}\),\(\frac{\sum _{c \in g} \mathit{Role(c)}{\mathit{C(g)}\),"\(\mathit{Role(c)\) returns the role count for case \(c\).
\newline \(\mathit{C(g)\) returns the number of cases in group \(g\). \\"
