Indicator	Dimension	Granularity	Params	Formalization_fp	Description_fp
Desired Activity count (case granularity)	C	C	\(\mathit{DAC(c)\)	\(\mathit{count( \mathit{Desl \cap \mathit{act(c))\)	"\(\mathit{Desl\) returns the set of desired activities.
\newline \(\mathit{act(c)\) returns the set of activities that occurred in case \(c\). \\"
Desired Activity count (group of cases granularity)	C	G	\(\mathit{DAC(g)\)	\(\mathit{count(\mathit{Desl \cap (\cup_{c \in g} \mathit{act(c)))\)	"\(\mathit{Desl\) returns the set of desired activities.
\newline \(\mathit{act(c)\) returns the set of activities that occurred in case \(c\). \\"
Expected Desired Activity count	C	G	\(\mathit{e\mathit{DAC(g)\)	\(\frac{\sum _{c \in g} \mathit{DAC(c)}{\mathit{C(g)}\)	"\(\mathit{DAC(c)\) returns the desired activity count for case \(c\).
\newline \(\mathit{C(g)\) returns the number of cases in group \(g\). \\"
Direct Cost (case granularity)	C	C	\(\mathit{DC(c)\)	\(\sum _{i \in \mathit{inst(c), \mathit{act(i) \in \mathit{DCl} \mathit{TC(i)\)	"\(\mathit{inst(c)\) returns the set of all activity instances in case \(c\).
\newline \(\mathit{act(i)\) returns the activity of activity instance \(i\).
\newline \(\mathit{DCl\) returns the set of direct cost activities.
\newline \(\mathit{TC(i)\) returns the cost of activity instance \(i\). \\"
Direct Cost (group of cases granularity)	C	G	\(\mathit{DC(g)\)	\(\sum _{c \in g} \mathit{DC(c)\)	\(\mathit{DC(c)\) returns the direct cost for case \(c\). \\
Expected Direct Cost	C	G	\(\mathit{e\mathit{DC(g)\)	\(\frac{\mathit{DC(g)}{\mathit{C(g)}\)	"\(\mathit{DC(g)\) returns the total direct cost for group \(g\).
\newline \(\mathit{C(g)\) returns the number of cases in group \(g\). \\"
Fixed Cost considering single events of activity instances (activity instance granularity)	C	I	\(\mathit{FC\mathit{^{sgl(i)\)	\(\begin{cases} #^{}_{\mathit{fc}(\mathit{cpl(i)) & \mathit{if \  #^{}_{\mathit{fc}(\mathit{cpl(i)) \neq undefined \\ #^{}_{\mathit{fc}(\mathit{str(i)) & \mathit{if \  #^{}_{\mathit{fc}(\mathit{cpl(i)) = undefined \land #^{}_{\mathit{fc}(\mathit{str(i)) \neq undefined \\ undefined & \mathit{if \  #^{}_{\mathit{fc}(\mathit{cpl(i)) = undefined \land #^{}_{\mathit{fc}(\mathit{str(i)) = undefined \\ \end{cases}\)	"\(#^{}_{\mathit{fc}\) returns the fixed cost associated with an event.
\newline \(\mathit{cpl(i)\) returns the completion event of activity instance \(i\).
\newline \(\mathit{str(i)\) returns the start event of activity instance \(i\). \\"
Fixed Cost considering the sum of all events of activity instances (activity instance granularity)	C	I	\(\mathit{FC\mathit{^{sum(i)\)	\(\begin{cases} #^{}_{\mathit{fc}(\mathit{str(i)) + & \\ #^{}_{\mathit{fc}(\mathit{cpl(i)) & \mathit{if \  #^{}_{\mathit{fc}(\mathit{cpl(i)) \neq undefined \land #^{}_{\mathit{fc}(\mathit{str(i)) \neq undefined \\ undefined & \mathit{if \  #^{}_{\mathit{fc}(\mathit{cpl(i)) = undefined \lor #^{}_{\mathit{fc}(\mathit{str(i)) = undefined \\ \end{cases}\)	"\(#^{}_{\mathit{fc}\) returns the fixed cost associated with an event.
\newline \(\mathit{str(i)\) returns the start event of activity instance \(i\).
\newline \(\mathit{cpl(i)\) returns the completion event of activity instance \(i\). \\"
Fixed Cost (activity granularity)	C	A	\(\mathit{FC(a)\)	\(\sum _{i \in \mathit{inst(a)} \mathit{FC(i)\)	"\(\mathit{inst(a)\) returns the set of all instances of activity \(a\).
\newline \(\mathit{FC(i)\) returns the fixed cost of activity instance \(i\). \\"
Fixed Cost (case granularity)	C	C	\(\mathit{FC(c)\)	\(\sum _{i \in \mathit{inst(c)} \mathit{FC(i)\)	"\(\mathit{inst(c)\) returns the set of all activity instances in case \(c\).
\newline \(\mathit{FC(i)\) returns the fixed cost of activity instance \(i\). \\"
Fixed Cost (group of cases granularity)	C	G	\(\mathit{FC(g)\)	\(\sum _{c \in g} \mathit{FC(c)\)	\(\mathit{FC(c)\) returns the fixed cost for case \(c\). \\
Expected Fixed Cost	C	G	\(\mathit{e\mathit{FC(g)\)	\(\frac{\mathit{FC(g)}{\mathit{C(g)}\)	"\(\mathit{FC(g)\) returns the total fixed cost for group \(g\).
\newline \(\mathit{C(g)\) returns the number of cases in group \(g\). \\"
Human Resource and Case count Ratio (group of cases granularity)	C	G	\(\mathit{HRCR(g)\)	\(\frac{\mathit{HR(g)}{\mathit{C(g)}\)	"\(\mathit{HR(g)\) returns the number of unique human resources involved in group \(g\).
\newline \(\mathit{C(g)\) returns the number of cases in group \(g\). \\"
Human Resource count (activity granularity)	C	A	\(\mathit{HR(a)\)	\(\mathit{count(\mathit{hres(a))\)	$\mathit{hres(a)$ returns the set of human resources that perform activity $a$ in the event log. \\
Human Resource count (case granularity)	C	C	\(\mathit{HR(c)\)	\(\mathit{count(\mathit{hres(c))\)	$\mathit{hres(c)$ returns the set of human resources that work in case $c$. \\
Human Resource count (group of cases granularity)	C	G	\(\mathit{HR(g)\)	\(\mathit{count(\mathit{hres(g))\)	$\mathit{hres(g)$ returns the set of human resources that work in group of cases $g$. \\
Expected Human Resource count	C	G	$e$\(\mathit{HR(g)\)	\(\frac{\sum _{c \in \mathit{cases(g)} \mathit{HR(c)}{\mathit{C(g)}\)	"$\mathit{cases(g)$ returns the set of cases in group of cases $g$.
\newline $\mathit{HR(c)$ returns the human resource count of case $c$.
\newline $\mathit{C(g)$ returns the case count of group of cases $g$. \\"
Inventory Cost considering single events of activity instances (activity instance granularity)	C	I	\(\mathit{IC\mathit{^{sgl(i)\)	\(\begin{cases} #^{}_{\mathit{ic}(\mathit{cpl(i)) & \mathit{if \  #^{}_{\mathit{ic}(\mathit{cpl(i)) \neq undefined \\ #^{}_{\mathit{ic}(\mathit{str(i)) & \mathit{if \  #^{}_{\mathit{ic}(\mathit{cpl(i)) = undefined \land #^{}_{\mathit{ic}(\mathit{str(i)) \neq undefined \\ undefined & \mathit{if \  #^{}_{\mathit{ic}(\mathit{cpl(i)) = undefined \land #^{}_{\mathit{ic}(\mathit{str(i)) = undefined \\ \end{cases}\)	"\(#^{}_{\mathit{ic}\) returns the inventory cost associated with an event.
\newline \(\mathit{cpl(i)\) returns the completion event of activity instance \(i\).
\newline \(\mathit{str(i)\) returns the start event of activity instance \(i\). \\"
Inventory Cost considering the sum of all events of activity instances (activity instance granularity)	C	I	\(\mathit{IC\mathit{^{sum(i)\)	\(\begin{cases} #^{}_{\mathit{ic}(\mathit{str(i)) + & \\ #^{}_{\mathit{ic}(\mathit{cpl(i)) & \mathit{if \  #^{}_{\mathit{ic}(\mathit{cpl(i)) \neq undefined \land #^{}_{\mathit{ic}(\mathit{str(i)) \neq undefined \\ undefined & \mathit{if \  #^{}_{\mathit{ic}(\mathit{cpl(i)) = undefined \lor #^{}_{\mathit{ic}(\mathit{str(i)) = undefined \\ \end{cases}\)	"\(#^{}_{\mathit{ic}\) returns the inventory cost associated with an event.
\newline \(\mathit{str(i)\) returns the start event of activity instance \(i\).
\newline \(\mathit{cpl(i)\) returns the completion event of activity instance \(i\). \\"
Inventory Cost (activity granularity)	C	A	\(\mathit{IC(a)\)	\(\sum _{i \in \mathit{inst(a)} \mathit{IC(i)\)	"\(\mathit{inst(a)\) returns the set of all instances of activity \(a\).
\newline \(\mathit{IC(i)\) returns the inventory cost of activity instance \(i\). \\"
Inventory Cost (case granularity)	C	C	\(\mathit{IC(c)\)	\(\sum _{i \in \mathit{inst(c)} \mathit{IC(i)\)	"\(\mathit{inst(c)\) returns the set of all activity instances in case \(c\).
\newline \(\mathit{IC(i)\) returns the inventory cost of activity instance \(i\). \\"
Inventory Cost (group of cases granularity)	C	G	\(\mathit{IC(g)\)	\(\sum _{c \in g} \mathit{IC(c)\)	\(\mathit{IC(c)\) returns the inventory cost for case \(c\). \\
Expected Inventory Cost	C	G	\(\mathit{e\mathit{IC(g)\)	\(\frac{\mathit{IC(g)}{\mathit{C(g)}\)	"\(\mathit{IC(g)\) returns the total inventory cost for group \(g\).
\newline \(\mathit{C(g)\) returns the number of cases in group \(g\). \\"
Labor Cost and Total Cost Ratio (activity instance granularity)	C	I	\(\mathit{LCTCR(i)\)	\(\frac{\mathit{LC(i)}{\mathit{TC(i)}\)	"\(\mathit{LC(i)\) returns the labor cost of activity instance \(i\).
\newline \(\mathit{TC(i)\) returns the total cost of activity instance \(i\). \\"
Labor Cost and Total Cost Ratio (activity granularity)	C	A	\(\mathit{LCTCR(a)\)	\(\frac{\mathit{LC(a)}{\mathit{TC(a)}\)	"\(\mathit{LC(a)\) returns the total labor cost of activity \(a\).
\newline \(\mathit{TC(a)\) returns the total cost of activity \(a\). \\"
Labor Cost and Total Cost Ratio (case granularity)	C	C	\(\mathit{LCTCR(c)\)	\(\frac{\mathit{LC(c)}{\mathit{TC(c)}\)	"\(\mathit{LC(c)\) returns the total labor cost of case \(c\).
\newline \(\mathit{TC(c)\) returns the total cost of case \(c\). \\"
Labor Cost and Total Cost Ratio (group of cases granularity)	C	G	\(\mathit{LCTCR(g)\)	\(\frac{\mathit{LC(g)}{\mathit{TC(g)}\)	"\(\mathit{LC(g)\) returns the total labor cost of case group \(g\).
\newline \(\mathit{TC(g)\) returns the total cost of case group \(g\). \\"
Expected Labor Cost and Total Cost Ratio	C	G	\(\mathit{e\mathit{LCTCR(g)\)	\(\frac{\mathit{LC(g)}{\mathit{TC(g)}\)	"\(\mathit{LC(g)\) returns the total labor cost of case group \(g\).
\newline \(\mathit{TC(g)\) returns the total cost of case group \(g\). \\"
Labor Cost considering single events of activity instances (activity instance granularity)	C	I	\(\mathit{LC\mathit{^{sgl(i)\)	"\(\begin{cases}
#^{}_{\mathit{lc}(\mathit{cpl(i)) & \mathit{if \  #^{}_{\mathit{lc}(\mathit{cpl(i)) \neq undefined \\
#^{}_{\mathit{lc}(\mathit{str(i)) & \mathit{if \  #^{}_{\mathit{lc}(\mathit{cpl(i)) = undefined \land #^{}_{\mathit{lc}(\mathit{str(i)) \neq undefined \\
undefined & \mathit{if \  #^{}_{\mathit{lc}(\mathit{cpl(i)) = undefined \land #^{}_{\mathit{lc}(\mathit{str(i)) = undefined \\
\end{cases}\)"	"\(#^{}_{\mathit{lc}\) returns the labor cost associated with an event.
\newline \(\mathit{cpl(i)\) returns the completion event of activity instance \(i\).
\newline \(\mathit{str(i)\) returns the start event of activity instance \(i\). \\"
Labor Cost considering the sum of all events of activity instances (activity instance granularity)	C	I	\(\mathit{LC\mathit{^{sum(i)\)	"\(\begin{cases}
#^{}_{\mathit{lc}(\mathit{str(i)) + & \\ #^{}_{\mathit{lc}(\mathit{cpl(i)) & \mathit{if \  #^{}_{\mathit{lc}(\mathit{cpl(i)) \neq undefined \land #^{}_{\mathit{lc}(\mathit{str(i)) \neq undefined \\
undefined & \mathit{if \  #^{}_{\mathit{lc}(\mathit{cpl(i)) = undefined \lor #^{}_{\mathit{lc}(\mathit{str(i)) = undefined \\
\end{cases}\)"	"\(#^{}_{\mathit{lc}\) returns the labor cost associated with an event.
\newline \(\mathit{str(i)\) returns the start event of activity instance \(i\).
\newline \(\mathit{cpl(i)\) returns the completion event of activity instance \(i\). \\"
Labor Cost (activity granularity)	C	A	\(\mathit{LC(a)\)	\(\sum _{i \in \mathit{inst(a)} \mathit{LC(i)\)	"\(\mathit{inst(a)\) returns the set of all instances of activity \(a\).
\newline \(\mathit{LC(i)\) returns the labor cost of activity instance \(i\). \\"
Labor Cost (case granularity)	C	C	\(\mathit{LC(c)\)	\(\sum _{i \in \mathit{inst(c)} \mathit{LC(i)\)	"\(\mathit{inst(c)\) returns the set of all activity instances in case \(c\).
\newline \(\mathit{LC(i)\) returns the labor cost of activity instance \(i\). \\"
Labor Cost (group of cases granularity)	C	G	\(\mathit{LC(g)\)	\(\sum _{c \in g} \mathit{LC(c)\)	\(\mathit{LC(c)\) returns the labor cost for case \(c\). \\
Expected Labor Cost	C	G	\(\mathit{e\mathit{LC(g)\)	\(\frac{\mathit{LC(g)}{\mathit{C(g)}\)	"\(\mathit{LC(g)\) returns the total labor cost for group \(g\).
\newline \(\mathit{C(g)\) returns the number of cases in group \(g\). \\"
Maintenance Cost (case granularity)	C	C	\(\mathit{MainC(c)\)	\(#^{}_{\mathit{mainc}(c)\)	\(#^{}_{\mathit{mainc}\) returns the maintenance cost associated with case \(c\). \\
Maintenance Cost (group of cases granularity)	C	G	\(\mathit{MainC(g)\)	\(\sum _{c \in g} \mathit{MainC(c)\)	\(\mathit{MainC(c)\) returns the maintenance cost for case \(c\). \\
Expected Maintenance Cost	C	G	\(\mathit{e\mathit{MainC(g)\)	\(\frac{\mathit{MainC(g)}{\mathit{C(g)}\)	"\(\mathit{MainC(g)\) returns the total maintenance cost for group \(g\).
\newline \(\mathit{C(g)\) returns the number of cases in group \(g\). \\"
Missed Deadline Cost (case granularity)	C	C	\(\mathit{MDC(c)\)	\(#^{}_{\mathit{mdc}(c)\)	\(#^{}_{\mathit{mdc}\) returns the missed deadline cost associated with case \(c\). \\
Missed Deadline Cost (group of cases granularity)	C	G	\(\mathit{MDC(g)\)	\(\sum _{c \in g} \mathit{MDC(c)\)	\(\mathit{MDC(c)\) returns the missed deadline cost for case \(c\). \\
Expected Missed Deadline Cost	C	G	\(\mathit{e\mathit{MDC(g)\)	\(\frac{\mathit{MDC(g)}{\mathit{C(g)}\)	"\(\mathit{MDC(g)\) returns the total missed deadline cost for group \(g\).
\newline \(\mathit{C(g)\) returns the number of cases in group \(g\). \\"
Overhead Cost (case granularity)	C	C	\(\mathit{OC(c)\)	\(\sum _{i \in \mathit{inst(c), \mathit{act(i) \notin \mathit{DCl} \mathit{TC(i)\)	"\(\mathit{inst(c)\) returns the set of all activity instances in case \(c\).
\newline \(\mathit{act(i)\) returns the activity of activity instance \(i\).
\newline \(\mathit{DCl\) returns the set of direct cost activities.
\newline \(\mathit{TC(i)\) returns the total cost of activity instance \(i\). \\"
Overhead Cost (group of cases granularity)	C	G	\(\mathit{OC(g)\)	\(\sum _{c \in g} \mathit{OC(c)\)	\(\mathit{OC(c)\) returns the overhead cost for case \(c\). \\
Expected Overhead Cost	C	G	\(\mathit{e\mathit{OC(g)\)	\(\frac{\mathit{OC(g)}{\mathit{C(g)}\)	"\(\mathit{OC(g)\) returns the total overhead cost for group \(g\).
\newline \(\mathit{C(g)\) returns the number of cases in group \(g\). \\"
Resource count (activity granularity)	C	A	\(\mathit{R(a)\)	\(\mathit{count(\mathit{res(a))\)	$\mathit{res(a)$ returns the set of resources used for activity $a$ in the event log. \\
Resource count (case granularity)	C	C	\(\mathit{R(c)\)	\(\mathit{count(\mathit{res(c))\)	$\mathit{res(c)$ returns the set of resources used in case $c$. \\
Resource count (group of cases granularity)	C	G	\(\mathit{R(g)\)	\(\mathit{count(\cup_{c \in g} \mathit{res(c))\)	\(\mathit{res(c)\) returns the set of unique resources involved in case \(c\). \\
Expected Resource count	C	G	\(\mathit{e\mathit{R(g)\)	\(\frac{\sum _{c \in g} \mathit{R(c)}{\mathit{C(g)}\)	"\(\mathit{R(c)\) returns the resource count for case \(c\).
\newline \(\mathit{C(g)\) returns the number of cases in group \(g\). \\"
Rework Cost (activity granularity)	C	A	\(\mathit{RC(a)\)	\(\mathit{TC(a) - \sum _{c \in C} \mathit{fitc(c, a)\)	"\(\mathit{TC(a)\) returns the total cost of activity \(a\).
\newline \(\mathit{fitc\) returns the cost of the first instance of activity \(a\) in case \(c\). \\"
Rework Cost (case granularity)	C	C	\(\mathit{RC(c)\)	\(\mathit{TC(c) - \sum _{a \in A} \mathit{fitc(c, a)\)	"\(\mathit{TC(c)\) returns the total cost of case \(c\).
\newline \(\mathit{fitc\) returns the cost of the first instance of activity \(a\) in case \(c\). \\"
Rework Cost (group of cases granularity)	C	G	\(\mathit{RC(g)\)	\(\sum _{c \in g} \mathit{RC(c)\)	\(\mathit{RC(c)\) returns the rework cost for case \(c\). \\
Expected Rework Cost	C	G	\(\mathit{e\mathit{RC(g)\)	\(\frac{\mathit{RC(g)}{\mathit{C(g)}\)	"\(\mathit{RC(g)\) returns the total rework cost for group \(g\).
\newline \(\mathit{C(g)\) returns the number of cases in group \(g\). \\"
Rework Count (activity granularity)	C	A	\(\mathit{RewC(a)\)	\(\sum _{c \in C} \mathit{max(0, \mathit{count(c, a) - 1)\)	\(\mathit{count(c, a)\) returns the number of instances of activity \(a\) in case \(c\). \\
Rework Count (case granularity)	C	C	\(\mathit{RewC(c)\)	\(\sum _{a \in A} \mathit{max(0, \mathit{count(c, a) - 1)\)	\(\mathit{count(c, a)\) returns the number of instances of activity \(a\) in case \(c\). \\
Rework Count (group of cases granularity)	C	G	\(\mathit{RewC(g)\)	\(\sum _{c \in g} \mathit{RewC(c)\)	\(\mathit{RewC(c)\) returns the rework count for case \(c\). \\
Expected Rework Count	C	G	\(\mathit{e\mathit{RewC(g)\)	\(\frac{\mathit{RewC(g)}{\mathit{C(g)}\)	"\(\mathit{RewC(g)\) returns the total rework count for group \(g\).
\newline \(\mathit{C(g)\) returns the number of cases in group \(g\). \\"
Rework Percentage (activity granularity)	C	A	\(\mathit{RewP(a)\)	\(\frac{\mathit{RewC(a)}{\mathit{I(a)}\)	"\(\mathit{RewC(a)\) returns the rework count for activity \(a\).
\newline \(\mathit{I(a)\) returns the number of instances of activity \(a\). \\"
Rework Percentage (case granularity)	C	C	\(\mathit{RewP(c)\)	\(\frac{\mathit{RewC(c)}{\mathit{I(c)}\)	"\(\mathit{RewC(c)\) returns the rework count for case \(c\).
\newline \(\mathit{I(c)\) returns the total number of activity instances in case \(c\). \\"
Rework Percentage (group of cases granularity)	C	G	\(\mathit{RewP(g)\)	\(\frac{\mathit{RewC(g)}{\mathit{I(g)}\)	"\(\mathit{RewC(g)\) returns the rework count for group \(g\).
\newline \(\mathit{I(g)\) returns the total number of activity instances in group \(g\). \\"
Expected Rework Percentage	C	G	\(\mathit{e\mathit{RewP(g)\)	\(\frac{\sum _{c \in g} \mathit{RewP(c)}{\mathit{C(g)}\)	"\(\mathit{RewP(c)\) returns the rework percentage for case \(c\).
\newline \(\mathit{C(g)\) returns the number of cases in group \(g\). \\"
Total Cost considering single events of activity instances (activity instance granularity)	C	I	\(\mathit{TC\mathit{^{sgl(i)\)	"\(\begin{cases}
#^{}_{\mathit{tc}(\mathit{cpl(i)) & \mathit{if \  #^{}_{\mathit{tc}(\mathit{cpl(i)) \neq undefined \\
#^{}_{\mathit{tc}(\mathit{str(i)) & \mathit{if \  #^{}_{\mathit{tc}(\mathit{cpl(i)) = undefined \land #^{}_{\mathit{tc}(\mathit{str(i)) \neq undefined \\
undefined & \mathit{if \  #^{}_{\mathit{tc}(\mathit{cpl(i)) = undefined \land #^{}_{\mathit{tc}(\mathit{str(i)) = undefined \\
\end{cases}\)"	"\(#^{}_{\mathit{tc}\) returns the total cost associated with an event.
\newline \(\mathit{cpl(i)\) returns the completion event of activity instance \(i\).
\newline \(\mathit{str(i)\) returns the start event of activity instance \(i\). \\"
Total Cost considering the sum of all events of activity instances (activity instance granularity)	C	I	\(\mathit{TC\mathit{^{sum(i)\)	"\(\begin{cases}
#^{}_{\mathit{tc}(\mathit{str(i)) + & \\ #^{}_{\mathit{tc}(\mathit{cpl(i)) & \mathit{if \  #^{}_{\mathit{tc}(\mathit{cpl(i)) \neq undefined \land #^{}_{\mathit{tc}(\mathit{str(i)) \neq undefined \\
undefined & \mathit{if \  #^{}_{\mathit{tc}(\mathit{cpl(i)) = undefined \lor #^{}_{\mathit{tc}(\mathit{str(i)) = undefined \\
\end{cases}\)"	"\(#^{}_{\mathit{tc}\) returns the total cost associated with an event.
\newline \(\mathit{str(i)\) returns the start event of activity instance \(i\).
\newline \(\mathit{cpl(i)\) returns the completion event of activity instance \(i\). \\"
Total Cost (activity granularity)	C	A	\(\mathit{TC(a)\)	\(\sum _{i \in \mathit{inst(a)} \mathit{TC(i)\)	"\(\mathit{inst(a)\) returns the set of all instances of activity \(a\).
\newline \(\mathit{TC(i)\) returns the total cost of activity instance \(i\). \\"
Total Cost (case granularity)	C	C	\(\mathit{TC(c)\)	\(\sum _{i \in \mathit{inst(c)} \mathit{TC(i)\)	"\(\mathit{inst(c)\) returns the set of all activity instances in case \(c\).
\newline \(\mathit{TC(i)\) returns the total cost of activity instance \(i\). \\"
Total Cost (group of cases granularity)	C	G	\(\mathit{TC(g)\)	\(\sum _{c \in g} \mathit{TC(c)\)	\(\mathit{TC(c)\) returns the total cost of case \(c\). \\
Expected Total Cost	C	G	\(\mathit{e\mathit{TC(g)\)	\(\frac{\mathit{TC(g)}{\mathit{C(g)}\)	"\(\mathit{TC(g)\) returns the total cost for group \(g\).
\newline \(\mathit{C(g)\) returns the number of cases in group \(g\). \\"
Total Cost and Lead Time Ratio (activity instance granularity)	C	I	\(\mathit{TCLTR(i)\)	\(\frac{\mathit{TC(i)}{\mathit{LT(i)}\)	"\(\mathit{TC(i)\) returns the total cost of activity instance \(i\).
\newline \(\mathit{LT(i)\) returns the lead time of activity instance \(i\). \\"
Total Cost and Lead Time Ratio (activity granularity)	C	A	\(\mathit{TCLTR(a)\)	\(\frac{\mathit{TC(a)}{\mathit{LT(a)}\)	"\(\mathit{TC(a)\) returns the total cost of activity \(a\).
\newline \(\mathit{LT(a)\) returns the total lead time of activity \(a\). \\"
Total Cost and Lead Time Ratio (case granularity)	C	C	\(\mathit{TCLTR(c)\)	\(\frac{\mathit{TC(c)}{\mathit{LT(c)}\)	"\(\mathit{TC(c)\) returns the total cost of case \(c\).
\newline \(\mathit{LT(c)\) returns the total lead time of case \(c\). \\"
Total Cost and Lead Time Ratio (group of cases granularity)	C	G	\(\mathit{TCLTR(g)\)	\(\frac{\mathit{TC(g)}{\mathit{LT(g)}\)	"\(\mathit{TC(g)\) returns the total cost of case group \(g\).
\newline \(\mathit{LT(g)\) returns the total lead time of case group \(g\). \\"
Expected Total Cost and Lead Time Ratio	C	G	\(\mathit{e\mathit{TCLTR(g)\)	\(\frac{\mathit{TC(g)}{\sum _{c \in g} \mathit{LT(c)}\)	"\(\mathit{TC(g)\) returns the total cost of case group \(g\).
\newline \(\mathit{LT(c)\) returns the total lead time of case \(c\). \\"
Total Cost and outcome Unit Ratio (activity instance granularity)	C	I	\(\mathit{TCUR(i)\)	\(\frac{\mathit{TC(i)}{\mathit{U(i)}\)	"\(\mathit{TC(i)\) returns the total cost of activity instance \(i\).
\newline \(\mathit{U(i)\) returns the outcome unit count of activity instance \(i\). \\"
Total Cost and outcome Unit Ratio (activity granularity)	C	A	\(\mathit{TCUR(a)\)	\(\frac{\mathit{TC(a)}{\mathit{U(a)}\)	"\(\mathit{TC(a)\) returns the total cost of activity \(a\).
\newline \(\mathit{U(a)\) returns the total outcome unit count of activity \(a\). \\"
Total Cost and outcome Unit Ratio (case granularity)	C	C	\(\mathit{TCUR(c)\)	\(\frac{\mathit{TC(c)}{\mathit{U(c)}\)	"\(\mathit{TC(c)\) returns the total cost of case \(c\).
\newline \(\mathit{U(c)\) returns the total outcome unit count of case \(c\). \\"
Total Cost and outcome Unit Ratio (group of cases granularity)	C	G	\(\mathit{TCUR(g)\)	\(\frac{\mathit{TC(g)}{\mathit{U(g)}\)	"\(\mathit{TC(g)\) returns the total cost of case group \(g\).
\newline \(\mathit{U(g)\) returns the total outcome unit count of case group \(g\). \\"
Expected Total Cost and outcome Unit Ratio	C	G	\(\mathit{e\mathit{TCUR(g)\)	\(\frac{\mathit{TC(g)}{\mathit{U(g)}\)	"\(\mathit{TC(g)\) returns the total cost of case group \(g\).
\newline \(\mathit{U(g)\) returns the total outcome unit count of case group \(g\). \\"
Total Cost and Service Time Ratio (activity instance granularity)	C	I	\(\mathit{TCSTR(i)\)	\(\frac{\mathit{TC(i)}{\mathit{ST(i)}\)	"\(\mathit{TC(i)\) returns the total cost of activity instance \(i\).
\newline \(\mathit{ST(i)\) returns the service time of activity instance \(i\). \\"
Total Cost and Service Time Ratio (activity granularity)	C	A	\(\mathit{TCSTR(a)\)	\(\frac{\mathit{TC(a)}{\mathit{ST(a)}\)	"\(\mathit{TC(a)\) returns the total cost of activity \(a\).
\newline \(\mathit{ST(a)\) returns the total service time of activity \(a\). \\"
Total Cost and Service Time Ratio (case granularity)	C	C	\(\mathit{TCSTR(c)\)	\(\frac{\mathit{TC(c)}{\mathit{ST(c)}\)	"\(\mathit{TC(c)\) returns the total cost of case \(c\).
\newline \(\mathit{ST(c)\) returns the total service time of case \(c\). \\"
Total Cost and Service Time Ratio (group of cases granularity)	C	G	\(\mathit{TCSTR(g)\)	\(\frac{\mathit{TC(g)}{\mathit{ST(g)}\)	"\(\mathit{TC(g)\) returns the total cost of case group \(g\).
\newline \(\mathit{ST(g)\) returns the total service time of case group \(g\). \\"
Expected Total Cost and Service Time Ratio	C	G	\(\mathit{e\mathit{TCSTR(g)\)	\(\frac{\mathit{TC(g)}{\mathit{ST(g)}\)	"\(\mathit{TC(g)\) returns the total cost of case group \(g\).
\newline \(\mathit{ST(g)\) returns the total service time of case group \(g\). \\"
Transportation Cost (case granularity)	C	C	\(\mathit{TransC(c)\)	\(#^{}_{\mathit{transc}(c)\)	\(#^{}_{\mathit{transc}\) returns the transportation cost associated with case \(c\). \\
Transportation Cost (group of cases granularity)	C	G	\(\mathit{TransC(g)\)	\(\sum _{c \in g} \mathit{TransC(c)\)	\(\mathit{TransC(c)\) returns the transportation cost for case \(c\). \\
Expected Transportation Cost	C	G	\(\mathit{e\mathit{TransC(g)\)	\(\frac{\mathit{TransC(g)}{\mathit{C(g)}\)	"\(\mathit{TransC(g)\) returns the total transportation cost for group \(g\).
\newline \(\mathit{C(g)\) returns the number of cases in group \(g\). \\"
Variable Cost considering single events of activity instances (activity instance granularity)	C	I	\(\mathit{VC\mathit{^{sgl(i)\)	"\(\begin{cases}
#^{}_{\mathit{vc}(\mathit{cpl(i)) & \mathit{if \  #^{}_{\mathit{vc}(\mathit{cpl(i)) \neq undefined \\
#^{}_{\mathit{vc}(\mathit{str(i)) & \mathit{if \  #^{}_{\mathit{vc}(\mathit{cpl(i)) = undefined \land #^{}_{\mathit{vc}(\mathit{str(i)) \neq undefined \\
undefined & \mathit{if \  #^{}_{\mathit{vc}(\mathit{cpl(i)) = undefined \land #^{}_{\mathit{vc}(\mathit{str(i)) = undefined \\
\end{cases}\)"	"\(#^{}_{\mathit{vc}\) returns the variable cost associated with an event.
\newline \(\mathit{cpl(i)\) returns the completion event of activity instance \(i\).
\newline \(\mathit{str(i)\) returns the start event of activity instance \(i\). \\"
Variable Cost considering the sum of all events of activity instances (activity instance granularity)	C	I	\(\mathit{VC\mathit{^{sum(i)\)	"\(\begin{cases}
#^{}_{\mathit{vc}(\mathit{str(i)) + & \\ #^{}_{\mathit{vc}(\mathit{cpl(i)) & \mathit{if \  #^{}_{\mathit{vc}(\mathit{cpl(i)) \neq undefined \land #^{}_{\mathit{vc}(\mathit{str(i)) \neq undefined \\
undefined & \mathit{if \  #^{}_{\mathit{vc}(\mathit{cpl(i)) = undefined \lor #^{}_{\mathit{vc}(\mathit{str(i)) = undefined \\
\end{cases}\)"	"\(#^{}_{\mathit{vc}\) returns the variable cost associated with an event.
\newline \(\mathit{str(i)\) returns the start event of activity instance \(i\).
\newline \(\mathit{cpl(i)\) returns the completion event of activity instance \(i\). \\"
Variable Cost (activity granularity)	C	A	\(\mathit{VC(a)\)	\(\sum _{i \in \mathit{inst(a)} \mathit{VC(i)\)	"\(\mathit{inst(a)\) returns the set of all instances of activity \(a\).
\newline \(\mathit{VC(i)\) returns the variable cost of activity instance \(i\). \\"
